Rk,Squad,Comp,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
1,Alavés,es La Liga,30,42.7,38.0,18390,2289,6566,8800,3937,640,16490,274,477,57.4,302,16,9827,49054,25070,953,280,105,428,350,12990,10284,79.2,926
2,Angers,fr Ligue 1,31,46.2,38.0,23290,2045,7459,11987,5299,654,21424,429,774,55.4,469,22,15042,71788,37242,1454,491,107,508,536,17933,15128,84.4,1262
3,Arminia,de Bundesliga,26,42.2,34.0,18529,2837,7991,7879,3722,576,16925,270,466,57.9,305,26,10490,52324,28300,802,282,74,383,386,13469,10707,79.5,838
4,Arsenal,eng Premier League,29,53.8,38.0,25217,2660,8496,11724,6662,979,23631,303,570,53.2,325,28,17270,91010,51942,2027,533,191,319,361,20487,17802,86.9,1350
5,Aston Villa,eng Premier League,24,48.1,38.0,20985,2696,7056,8919,6192,1061,19152,395,609,64.9,416,19,12345,65238,35018,1414,429,205,443,418,15702,12780,81.4,1279
6,Atalanta,it Serie A,30,54.9,38.0,26478,1943,6889,12811,8433,1304,24879,422,712,59.3,448,31,18202,94213,48907,2258,682,233,523,529,21126,18159,86.0,1939
7,Athletic Club,es La Liga,27,49.8,38.0,21646,2111,6458,10859,5688,766,19688,315,529,59.5,335,26,12941,73026,40524,1568,484,145,398,383,16714,13694,81.9,1349
8,Atlético Madrid,es La Liga,25,52.4,38.0,24797,2122,7261,12558,6275,992,23085,366,603,60.7,395,38,16070,74449,39926,1683,435,152,402,406,19677,16924,86.0,1509
9,Augsburg,de Bundesliga,25,41.3,34.0,18441,2706,7802,8142,3614,565,16793,326,560,58.2,349,18,10522,56515,29046,917,300,73,456,385,13347,10430,78.1,917
10,Barcelona,es La Liga,25,65.8,38.0,32310,2525,7938,15985,10509,1376,30714,504,786,64.1,538,33,23664,113705,63415,2831,850,263,366,386,27983,25415,90.8,1807
11,Bayern Munich,de Bundesliga,29,61.1,34.0,26025,2032,7019,12889,7855,1322,24379,480,733,65.5,512,34,17702,93890,50318,2187,603,198,542,441,21312,18505,86.8,1796
12,Benevento,it Serie A,29,42.3,38.0,19431,2586,7411,8796,4406,776,17590,229,406,56.4,250,18,11275,62725,33340,1156,363,101,413,348,14392,11710,81.4,1050
13,Betis,es La Liga,25,53.9,38.0,23809,2272,7125,11884,6099,879,21983,362,587,61.7,387,25,15486,75005,39374,1673,513,157,467,467,18509,15938,86.1,1161
14,Bologna,it Serie A,37,50.9,38.0,22950,2935,7788,10695,5925,870,21154,373,649,57.5,409,19,14214,78674,41302,1550,507,167,438,433,17603,14812,84.1,1343
15,Bordeaux,fr Ligue 1,28,49.7,38.0,23805,2537,8312,12192,4749,653,21949,421,733,57.4,452,20,15696,79550,41809,1541,406,127,493,491,18630,16031,86.0,1022
16,Brest,fr Ligue 1,26,49.3,38.0,23575,2902,8828,10743,5583,793,21698,396,637,62.2,417,24,15145,79205,44316,1486,505,120,472,372,18220,15582,85.5,1289
17,Brighton,eng Premier League,27,51.3,38.0,23519,2703,8395,10204,6485,1020,21874,344,547,62.9,371,17,15362,84064,44546,1667,546,135,433,406,18583,15598,83.9,1288
18,Burnley,eng Premier League,25,41.7,38.0,19236,2320,6089,9006,5107,748,17531,250,421,59.4,270,18,10028,49686,23757,948,342,81,406,335,13976,10643,76.2,985
19,Cádiz,es La Liga,34,34.3,38.0,16108,2247,5912,7405,3627,490,14221,325,513,63.4,354,30,8148,43974,23896,888,282,72,443,352,10838,8053,74.3,688
20,Cagliari,it Serie A,32,44.6,38.0,21080,2587,7323,9905,5278,773,19234,342,554,61.7,365,20,12760,71433,39403,1414,508,101,418,421,16041,13160,82.0,1108
21,Celta Vigo,es La Liga,30,53.7,38.0,23388,2659,8346,11511,4873,656,21614,284,490,58.0,310,17,14614,70939,37597,1396,449,101,396,340,18118,15277,84.3,1158
22,Chelsea,eng Premier League,27,61.4,38.0,29564,2703,9251,14400,7810,1131,27953,368,643,57.2,393,33,19876,99594,56264,2265,679,246,444,423,24517,21645,88.3,1555
23,Crotone,it Serie A,31,46.4,38.0,21410,3150,8547,9861,4283,648,19662,356,602,59.1,381,22,13301,68848,36657,1248,389,104,498,447,16271,13666,84.0,1115
24,Crystal Palace,eng Premier League,24,40.1,38.0,19660,2331,7026,9079,4735,706,17883,373,637,58.6,401,21,11234,57886,29998,1211,395,134,425,513,14237,11392,80.0,991
25,Dijon,fr Ligue 1,33,46.2,38.0,22259,2723,8587,10906,4246,577,20402,434,694,62.5,463,19,13532,68688,36562,1298,369,82,514,519,17000,14136,83.2,1070
26,Dortmund,de Bundesliga,26,59.8,34.0,26221,2315,7834,13231,6971,1125,24710,459,744,61.7,489,37,18425,96142,51293,2093,615,202,420,375,21600,18983,87.9,1561
27,Eibar,es La Liga,30,49.6,38.0,20967,1910,5647,10273,6104,770,18965,349,566,61.7,379,25,11776,60642,29507,1246,386,101,519,395,15283,11898,77.9,1122
28,Eint Frankfurt,de Bundesliga,25,54.0,34.0,22459,2435,7177,11079,5621,864,20795,323,534,60.5,349,25,13534,72038,39272,1630,491,163,443,417,17451,14409,82.6,1459
29,Elche,es La Liga,30,47.6,38.0,21030,2763,8370,10166,3731,448,19255,379,656,57.8,407,37,13221,65650,34067,1190,339,73,506,413,16090,13601,84.5,809
30,Everton,eng Premier League,29,46.5,38.0,22715,2922,8747,10504,4937,699,21131,341,585,58.3,363,30,13794,76582,41358,1387,411,114,430,449,17417,14669,84.2,1091
31,Fiorentina,it Serie A,30,46.2,38.0,21194,2299,6426,10437,5656,736,19344,319,539,59.2,340,22,13551,72473,38371,1507,474,119,422,534,16121,13588,84.3,1156
32,Freiburg,de Bundesliga,24,47.0,34.0,19679,2621,7788,8639,4521,695,18052,263,462,56.9,285,14,11882,62484,33150,1003,335,107,394,332,14984,12336,82.3,1102
33,Fulham,eng Premier League,28,49.9,38.0,23627,2640,8285,10981,5883,822,21923,499,763,65.4,525,34,14934,80614,43240,1613,509,133,587,472,18034,15183,84.2,1178
34,Genoa,it Serie A,34,44.7,38.0,22141,2850,8118,10620,4605,619,20406,277,524,52.9,293,20,13616,65939,34824,1279,391,103,482,383,16888,14013,83.0,1010
35,Getafe,es La Liga,31,42.8,38.0,17829,1729,4861,8191,5643,718,15818,248,456,54.4,270,24,9314,48816,25691,1103,362,103,475,424,11893,9017,75.8,1043
36,Granada,es La Liga,34,41.0,38.0,17326,2279,6084,8030,4100,610,15425,307,525,58.5,326,32,9200,47395,24998,947,269,94,386,387,12192,9247,75.8,918
37,Hellas Verona,it Serie A,32,49.8,38.0,22051,2381,6880,10788,5669,829,20226,316,525,60.2,348,24,13050,68813,37219,1453,497,130,447,413,16537,13335,80.6,1325
38,Hertha BSC,de Bundesliga,32,49.4,34.0,20184,2314,7744,9310,4456,738,18493,334,564,59.2,365,14,12612,71590,38391,1295,388,149,389,446,15258,12621,82.7,1080
39,Hoffenheim,de Bundesliga,30,51.1,34.0,22138,2470,7671,10389,5541,836,20465,346,600,57.7,377,25,14091,73046,39386,1431,441,117,512,419,17084,14462,84.7,1372
40,Huesca,es La Liga,27,48.3,38.0,21467,2676,8288,10017,4683,659,19617,442,692,63.9,479,27,13532,75970,41323,1512,452,107,455,390,16319,13635,83.6,993
41,Inter,it Serie A,25,52.4,38.0,25452,2674,8241,11970,6861,1122,23886,261,447,58.4,279,18,17109,88944,49923,1926,544,193,460,353,20894,18514,88.6,1557
42,Juventus,it Serie A,30,57.1,38.0,27094,2816,8479,13447,6944,1189,25535,412,629,65.5,428,27,18576,98455,53820,2087,626,263,426,418,22405,19971,89.1,1586
43,Köln,de Bundesliga,28,46.3,34.0,19814,2515,7841,8654,4456,589,18141,272,461,59.0,299,13,11369,58488,30243,1052,316,72,471,386,14809,12039,81.3,1007
44,Lazio,it Serie A,30,53.1,38.0,24943,2784,8267,11851,6576,987,23349,320,546,58.6,350,22,16240,94918,52737,1905,622,147,478,409,19826,17098,86.2,1501
45,Leeds United,eng Premier League,23,57.6,38.0,24597,3071,9481,10577,6094,985,22782,321,558,57.5,351,35,15012,85598,48248,1648,509,157,504,410,19143,15997,83.6,1452
46,Leicester City,eng Premier League,27,54.6,38.0,25031,2426,8195,12125,6207,838,23368,350,629,55.6,379,29,15999,79829,42855,1679,505,135,467,429,19730,16726,84.8,1281
47,Lens,fr Ligue 1,27,51.4,38.0,23406,2248,7274,12308,5418,755,21620,376,620,60.6,397,16,14685,84099,49510,1872,470,110,504,463,18072,15307,84.7,1452
48,Levante,es La Liga,29,52.4,38.0,21997,2608,7918,10237,5189,761,20241,387,645,60.0,429,29,13914,70471,38477,1450,463,113,420,431,16864,14182,84.1,1338
49,Leverkusen,de Bundesliga,30,59.9,34.0,25588,2494,8177,13375,5847,845,24009,466,764,61.0,495,27,17734,89327,47530,1706,533,172,492,446,20663,18000,87.1,1388
50,Lille,fr Ligue 1,21,53.9,38.0,26131,2083,7434,13846,6538,820,24406,391,671,58.3,417,29,17088,85177,46429,1973,534,149,473,506,20916,18028,86.2,1572
51,Liverpool,eng Premier League,28,62.4,38.0,29821,2223,7936,14808,8909,1372,28087,421,704,59.8,457,28,20287,98252,53335,2281,695,230,482,449,24734,21526,87.0,1950
52,Lorient,fr Ligue 1,27,44.6,38.0,21699,2127,7653,10921,4440,571,19860,314,544,57.7,343,14,13064,63696,35272,1329,412,98,548,483,16014,13403,83.7,1094
53,Lyon,fr Ligue 1,29,54.9,38.0,25826,2292,7318,13057,7071,1193,24046,482,775,62.2,518,30,16970,86469,50013,2093,586,216,511,477,20543,17819,86.7,1775
54,M'Gladbach,de Bundesliga,23,51.9,34.0,22940,2481,8008,11395,4878,838,21322,318,501,63.5,333,14,14577,69613,39082,1492,403,164,433,402,17676,15337,86.8,1321
55,Mainz 05,de Bundesliga,31,40.5,34.0,17917,2312,6633,7902,4370,713,16231,288,484,59.5,314,18,9787,51017,27767,942,313,106,451,380,12572,9677,77.0,1008
56,Manchester City,eng Premier League,24,63.9,38.0,30524,2142,7108,16432,9082,1360,29001,485,807,60.1,518,33,22044,117292,67033,3046,809,314,379,419,26073,23579,90.4,1669
57,Manchester Utd,eng Premier League,29,55.8,38.0,26392,2392,8046,12262,7891,1043,24709,424,733,57.8,460,35,17172,94013,53179,2196,676,180,422,468,21335,18495,86.7,1524
58,Marseille,fr Ligue 1,31,53.9,38.0,24775,2584,8237,12869,5136,709,22886,341,585,58.3,368,17,15587,76451,42527,1653,401,135,428,453,19683,16646,84.6,1226
59,Metz,fr Ligue 1,27,45.3,38.0,21594,2305,7845,10638,4610,610,19874,436,724,60.2,468,22,13408,75873,41125,1544,527,110,531,527,15951,13272,83.2,1030
60,Milan,it Serie A,29,51.9,38.0,23882,2620,7875,11304,6269,1030,22239,430,665,64.7,450,19,15341,85609,47462,1747,553,176,469,381,18712,16046,85.8,1343
61,Monaco,fr Ligue 1,30,56.0,38.0,26167,2231,7779,13635,6430,1029,24328,339,548,61.9,359,14,17143,89117,49951,1897,496,151,467,473,20998,17905,85.3,1590
62,Montpellier,fr Ligue 1,25,45.3,38.0,20906,2435,7479,9744,5027,779,19034,315,580,54.3,343,30,12121,67000,36704,1368,410,111,487,428,15644,12883,82.4,1228
63,Nantes,fr Ligue 1,25,43.7,38.0,21129,2049,6516,10490,5290,771,19241,408,741,55.1,451,22,12349,61361,33738,1416,402,152,458,497,15468,12440,80.4,1156
64,Napoli,it Serie A,25,55.2,38.0,26108,2487,7994,12845,6955,1089,24355,360,591,60.9,380,36,17699,92719,50920,2107,579,246,374,340,21416,18945,88.5,1440
65,Newcastle Utd,eng Premier League,27,38.2,38.0,18589,2672,7556,7581,4511,637,16830,350,575,60.9,377,20,10687,53724,27980,1014,355,116,392,389,13305,10615,79.8,783
66,Nice,fr Ligue 1,31,54.5,38.0,25774,2831,9464,12605,5560,796,24034,424,725,58.5,452,34,17715,98619,55663,1974,499,141,479,478,20774,18220,87.7,1321
67,Nîmes,fr Ligue 1,34,44.4,38.0,21292,2708,8390,9456,4767,681,19294,364,644,56.5,397,25,12814,66048,36840,1182,329,111,463,463,15872,12874,81.1,1087
68,Osasuna,es La Liga,28,43.1,38.0,19064,2255,6104,9171,4694,684,17261,248,459,54.0,279,26,9945,48052,24363,923,289,71,469,362,13638,10415,76.4,1063
69,Paris S-G,fr Ligue 1,33,63.5,38.0,30233,2232,7686,16144,8417,1185,28673,517,903,57.3,559,62,21883,102861,57959,2467,735,216,446,455,25387,23091,91.0,1711
70,Parma,it Serie A,42,47.7,38.0,22535,3001,8484,10822,4664,716,20814,354,559,63.3,382,29,13609,74107,40728,1404,395,111,455,385,17595,14927,84.8,1210
71,RB Leipzig,de Bundesliga,25,60.0,34.0,25376,1989,6972,13158,6795,1062,23776,328,552,59.4,359,13,16866,82562,44289,1837,526,156,427,450,20574,17673,85.9,1636
72,Real Madrid,es La Liga,30,59.7,38.0,28065,2554,8336,13443,8171,1140,26344,460,720,63.9,484,29,19620,104244,56158,2331,712,231,429,346,23361,20825,89.1,1548
73,Real Sociedad,es La Liga,30,55.1,38.0,22728,2327,6904,11503,5747,929,20932,323,538,60.0,348,14,14687,77725,42399,1632,458,123,429,394,17775,14976,84.3,1344
74,Reims,fr Ligue 1,29,44.8,38.0,21475,2761,8562,9918,4542,634,19719,389,613,63.5,415,14,13815,76138,42828,1514,503,128,485,450,16286,13703,84.1,1090
75,Rennes,fr Ligue 1,32,59.5,38.0,28084,2102,7674,15096,7016,969,26249,404,677,59.7,443,11,18582,90042,49619,2105,590,150,468,437,22965,20158,87.8,1599
76,Roma,it Serie A,31,52.5,38.0,24292,2478,7615,12352,6029,984,22679,382,642,59.5,415,27,16575,94373,51347,2046,610,222,393,336,19632,17067,86.9,1401
77,Saint-Étienne,fr Ligue 1,40,48.3,38.0,22485,2293,8111,11044,4816,744,20509,475,847,56.1,526,34,13790,74969,40860,1436,408,105,519,534,16673,13800,82.8,1052
78,Sampdoria,it Serie A,27,45.1,38.0,21870,2724,7681,10002,5437,776,20032,271,470,57.7,291,19,12920,66518,35513,1305,417,116,462,354,16759,13561,80.9,1228
79,Sassuolo,it Serie A,28,60.8,38.0,27924,3004,8673,14164,6909,984,26271,403,681,59.2,432,39,19488,99219,55712,2095,598,171,417,437,22986,20546,89.4,1444
80,Schalke 04,de Bundesliga,42,44.6,34.0,18944,2716,7903,8673,3543,557,17256,361,627,57.6,397,19,11261,58425,29897,1018,297,88,473,446,13844,11269,81.4,934
81,Sevilla,es La Liga,26,61.2,38.0,26770,2724,8625,13051,6490,863,25065,402,599,67.1,424,22,18073,82776,43783,1781,478,139,448,411,21992,19429,88.3,1323
82,Sheffield Utd,eng Premier League,27,41.5,38.0,20177,2447,6663,8654,5983,703,18556,298,509,58.5,328,28,11337,58989,31802,1212,384,97,412,390,14802,12057,81.5,1026
83,Southampton,eng Premier League,29,52.2,38.0,23419,2440,7992,11611,5273,793,21629,367,631,58.2,395,15,13918,71629,38068,1511,482,130,467,454,17833,14758,82.8,1120
84,Spezia,it Serie A,35,52.2,38.0,22438,2615,7657,10937,5262,816,20823,281,451,62.3,306,14,14151,78524,40326,1509,437,165,493,372,17896,15022,83.9,1152
85,Strasbourg,fr Ligue 1,26,45.6,38.0,21374,2201,7284,10417,5010,783,19537,324,550,58.9,347,16,13247,69356,36495,1308,414,102,507,445,16171,13300,82.2,1156
86,Stuttgart,de Bundesliga,29,51.5,34.0,22008,2702,7891,10503,5116,839,20331,454,731,62.1,493,29,14097,75661,41684,1578,493,147,519,486,16743,14259,85.2,1302
87,Torino,it Serie A,29,47.2,38.0,21427,2548,7577,10212,5038,734,19575,370,639,57.9,392,15,13554,71866,38348,1372,466,95,431,384,16210,13471,83.1,981
88,Tottenham,eng Premier League,24,51.7,38.0,24321,2708,8302,12151,5316,770,22574,408,673,60.6,435,34,15373,74644,39499,1549,468,135,369,467,19069,16143,84.7,1216
89,Udinese,it Serie A,33,46.1,38.0,21669,2497,7500,9972,5636,839,19994,383,593,64.6,408,22,14198,75866,41750,1576,505,119,454,451,16750,14149,84.5,1195
90,Union Berlin,de Bundesliga,27,44.9,34.0,19754,2263,7614,9103,4242,613,18188,200,358,55.9,219,17,11319,61203,31685,1069,365,100,458,365,14930,12037,80.6,1021
91,Valencia,es La Liga,30,46.9,38.0,20585,2781,7585,9551,4776,624,18781,302,525,57.5,338,15,12311,67997,37598,1428,442,95,416,368,15623,12953,82.9,1092
92,Valladolid,es La Liga,32,45.1,38.0,19328,2335,6640,9124,4673,589,17437,268,497,53.9,293,19,10967,58006,29861,1184,390,98,384,364,13937,11133,79.9,900
93,Villarreal,es La Liga,29,55.6,38.0,25048,2729,8270,12600,5885,907,23309,456,717,63.6,488,36,16883,88027,49670,1868,542,168,447,407,20182,17601,87.2,1424
94,Werder Bremen,de Bundesliga,27,43.8,34.0,19641,2454,7551,9161,3975,568,17937,236,435,54.3,257,21,11310,55467,29395,1032,295,74,414,357,14512,11769,81.1,1014
95,West Brom,eng Premier League,30,37.6,38.0,18234,2692,6754,7838,4511,653,16495,294,534,55.1,319,21,9646,49732,25174,955,283,108,459,427,12638,9743,77.1,912
96,West Ham,eng Premier League,24,42.9,38.0,20537,2423,6846,9450,5500,828,18875,325,546,59.5,348,25,12115,68473,34757,1376,451,143,383,380,15378,12532,81.5,1025
97,Wolfsburg,de Bundesliga,26,51.4,34.0,21519,2255,7029,10544,5292,809,19912,282,462,61.0,314,19,12998,68367,36910,1380,452,117,450,429,16162,13255,82.0,1323
98,Wolves,eng Premier League,27,49.3,38.0,22961,2287,7493,11330,5635,759,21242,497,781,63.6,538,29,14455,76007,42595,1793,544,183,454,391,17783,15232,85.7,1077